aptNm,aptSeq,excluUseAr,dealYear,dealMonth,dealDay,dealAmount,buildYear,umdNm,sggCd,floor,dealDate
진성그린,11590-213,74.72,2020,1,11,43000,2004,상도동,11590,6,2020-01-11
쌍용스윗닷홈,11590-99,84.954,2020,1,29,84200,2003,상도동,11590,5,2020-01-29
포스코더샵,11590-3412,84.992,2020,1,18,112500,2007,상도동,11590,7,2020-01-18
e편한세상상도노빌리티,11590-4879,59.9173,2020,1,29,110100,2018,상도동,11590,5,2020-01-29
e편한세상상도노빌리티,11590-4879,59.9173,2020,1,29,109900,2018,상도동,11590,2,2020-01-29
대림아파트,11590-85,84.89,2020,1,15,65500,1995,상도동,11590,6,2020-01-15
대림아파트,11590-85,66.59,2020,1,13,59000,1995,상도동,11590,14,2020-01-13
쌍용스윗닷홈,11590-99,112.756,2020,1,29,87900,2003,상도동,11590,2,2020-01-29
중앙하이츠빌,11590-100,84.9794,2020,1,13,82000,2003,상도동,11590,2,2020-01-13
중앙하이츠빌,11590-100,84.9883,2020,1,13,87000,2003,상도동,11590,4,2020-01-13
상도현대,11590-15,59.72,2020,1,21,57300,2003,상도동,11590,13,2020-01-21
상도동래미안1차,11590-22,59.828,2020,1,10,79000,2004,상도동,11590,9,2020-01-10
상도동래미안1차,11590-22,84.959,2020,1,9,91500,2004,상도동,11590,9,2020-01-09
상도동삼호아파트,11590-13,84.52,2020,1,20,69300,1994,상도동,11590,7,2020-01-20
현대(관악),11590-3295,84.78,2020,1,21,67800,1992,상도동,11590,3,2020-01-21
중앙하이츠빌,11590-100,84.9883,2020,1,18,85000,2003,상도동,11590,1,2020-01-18
아이파크,11590-126,114.83,2020,1,18,97000,2004,상도동,11590,9,2020-01-18
롯데캐슬비엔,11590-3744,84.95,2020,1,11,85000,2010,상도동,11590,4,2020-01-11
중앙하이츠빌,11590-100,84.9883,2020,1,3,88500,2003,상도동,11590,8,2020-01-03
중앙하이츠빌,11590-100,84.9883,2020,1,13,85000,2003,상도동,11590,9,2020-01-13
포스코더샵,11590-3412,132.735,2020,1,18,135000,2007,상도동,11590,10,2020-01-18
상도현대,11590-15,84.97,2020,1,16,59500,2003,상도동,11590,1,2020-01-16
포스코더샵,11590-3412,84.992,2020,1,5,112500,2007,상도동,11590,10,2020-01-05
상도효성해링턴플레이스,11590-4559,84.8136,2020,1,16,105500,2016,상도동,11590,13,2020-01-16
상도동래미안1차,11590-22,84.959,2020,1,12,94000,2004,상도동,11590,11,2020-01-12
포스코더샵,11590-3412,59.995,2020,1,18,93000,2007,상도동,11590,13,2020-01-18
현대(관악),11590-3295,84.78,2020,1,11,69000,1992,상도동,11590,8,2020-01-11
건영,11590-9,114.96,2020,1,14,89700,1997,상도동,11590,6,2020-01-14
현대(관악),11590-3295,84.78,2020,1,7,69000,1992,상도동,11590,5,2020-01-07
현대201동,11590-18,59.91,2020,1,13,48500,1995,상도동,11590,6,2020-01-13
이수브라운스톤상도(527-0),11590-3441,84.99,2020,1,28,107000,2007,상도동,11590,6,2020-01-28
두산위브트레지움2차,11590-4495,84.8624,2020,1,31,123000,2016,상도동,11590,20,2020-01-31
힐스테이트 상도 프레스티지,11590-4078,84.884,2020,1,2,115000,2013,상도동,11590,12,2020-01-02
두산위브트레지움2차,11590-4495,59.7852,2020,1,23,90000,2016,상도동,11590,4,2020-01-23
상도동삼호아파트,11590-13,114.63,2020,1,1,75500,1994,상도동,11590,15,2020-01-01
쌍용스윗닷홈,11590-99,84.954,2020,1,9,84000,2003,상도동,11590,9,2020-01-09
힐스테이트 상도 프레스티지,11590-4078,84.951,2020,1,22,117000,2013,상도동,11590,4,2020-01-22
래미안상도3차,11590-127,114.97,2020,1,18,129000,2004,상도동,11590,8,2020-01-18
래미안상도3차,11590-127,114.97,2020,1,18,124000,2004,상도동,11590,14,2020-01-18
e편한세상상도노빌리티,11590-4879,59.9173,2020,1,29,97000,2018,상도동,11590,1,2020-01-29
경향렉스빌,11590-23,84.5802,2020,1,23,56000,2002,상도동,11590,9,2020-01-23
대림아파트,11590-85,84.89,2020,1,18,66000,1995,상도동,11590,10,2020-01-18
힐스테이트 상도 센트럴파크,11590-3954,84.7835,2020,1,18,125500,2012,상도동,11590,14,2020-01-18
이수브라운스톤상도(527-0),11590-3441,84.99,2020,1,11,105000,2007,상도동,11590,10,2020-01-11
e편한세상상도노빌리티,11590-4879,59.7827,2020,1,2,115000,2018,상도동,11590,14,2020-01-02
상도팰리스,11590-123,84.86,2020,2,10,68000,2006,상도동,11590,1,2020-02-10
e편한세상상도노빌리티,11590-4879,59.7827,2020,2,1,112500,2018,상도동,11590,19,2020-02-01
상도동래미안1차,11590-22,84.959,2020,2,6,91000,2004,상도동,11590,12,2020-02-06
상도동삼호아파트,11590-13,84.52,2020,2,27,70000,1994,상도동,11590,12,2020-02-27
중앙하이츠빌,11590-100,84.9883,2020,2,25,88900,2003,상도동,11590,2,2020-02-25
이수브라운스톤상도(527-0),11590-3441,84.91,2020,2,29,104500,2007,상도동,11590,5,2020-02-29
장승,11590-21,76.0,2020,2,22,39000,2002,상도동,11590,4,2020-02-22
대림아파트,11590-85,66.59,2020,2,24,59500,1995,상도동,11590,13,2020-02-24
대림아파트,11590-85,84.89,2020,2,15,66500,1995,상도동,11590,5,2020-02-15
중앙하이츠빌,11590-100,84.9883,2020,2,15,92000,2003,상도동,11590,15,2020-02-15
상도현대,11590-15,84.97,2020,2,29,71000,2003,상도동,11590,11,2020-02-29
아이파크,11590-126,84.96,2020,2,15,86500,2004,상도동,11590,5,2020-02-15
중앙하이츠빌,11590-100,84.9883,2020,2,22,88000,2003,상도동,11590,16,2020-02-22
포스코더샵,11590-3412,59.99,2020,2,29,96500,2007,상도동,11590,6,2020-02-29
중앙하이츠빌,11590-100,84.9883,2020,2,27,86800,2003,상도동,11590,3,2020-02-27
포스코더샵,11590-3412,84.995,2020,2,29,115000,2007,상도동,11590,10,2020-02-29
포스코더샵,11590-3412,59.99,2020,2,29,96700,2007,상도동,11590,10,2020-02-29
상도현대,11590-15,84.97,2020,2,12,68000,2003,상도동,11590,5,2020-02-12
중앙하이츠빌,11590-100,84.9883,2020,2,4,90000,2003,상도동,11590,7,2020-02-04
상도동삼호아파트,11590-13,84.52,2020,2,20,70000,1994,상도동,11590,2,2020-02-20
상도동삼호아파트,11590-13,84.52,2020,2,4,65500,1994,상도동,11590,7,2020-02-04
상도동삼호아파트,11590-13,114.63,2020,2,17,72700,1994,상도동,11590,3,2020-02-17
포스코더샵,11590-3412,84.995,2020,2,20,113000,2007,상도동,11590,4,2020-02-20
현대(관악),11590-3295,84.78,2020,2,20,72800,1992,상도동,11590,11,2020-02-20
힐스테이트 상도 프레스티지,11590-4078,84.922,2020,2,5,117000,2013,상도동,11590,8,2020-02-05
포스코더샵,11590-3412,84.995,2020,2,9,112000,2007,상도동,11590,7,2020-02-09
힐스테이트 상도 센트럴파크,11590-3954,84.7835,2020,2,11,116000,2012,상도동,11590,8,2020-02-11
건영,11590-9,114.96,2020,2,19,90000,1997,상도동,11590,7,2020-02-19
상도효성해링턴플레이스,11590-4559,84.9506,2020,2,14,106000,2016,상도동,11590,19,2020-02-14
이수브라운스톤상도(527-0),11590-3441,84.91,2020,2,29,104500,2007,상도동,11590,5,2020-02-29
건영,11590-9,32.8,2020,2,22,44200,1997,상도동,11590,15,2020-02-22
건영,11590-9,114.96,2020,2,21,89000,1997,상도동,11590,3,2020-02-21
상도휴엔하임,11590-4526,14.7,2020,2,12,16800,2016,상도동,11590,13,2020-02-12
이수브라운스톤상도(527-0),11590-3441,84.99,2020,2,26,107000,2007,상도동,11590,14,2020-02-26
현대(관악),11590-3295,84.78,2020,2,23,70600,1992,상도동,11590,2,2020-02-23
포스코더샵,11590-3412,59.99,2020,2,22,86000,2007,상도동,11590,1,2020-02-22
현대(관악),11590-3295,84.78,2020,2,22,71000,1992,상도동,11590,2,2020-02-22
현대(관악),11590-3295,84.78,2020,2,15,71900,1992,상도동,11590,5,2020-02-15
상도더샵2차,11590-4206,84.99,2020,2,3,95000,2014,상도동,11590,1,2020-02-03
두산위브트레지움2차,11590-4495,59.7852,2020,2,28,110000,2016,상도동,11590,9,2020-02-28
포스코더샵,11590-3412,132.735,2020,2,6,135800,2007,상도동,11590,9,2020-02-06
상도동래미안1차,11590-22,84.959,2020,2,20,89900,2004,상도동,11590,4,2020-02-20
아이파크,11590-126,84.96,2020,2,29,89400,2004,상도동,11590,7,2020-02-29
힐스테이트 상도 프레스티지,11590-4078,84.951,2020,2,6,120000,2013,상도동,11590,11,2020-02-06
e편한세상상도노빌리티,11590-4879,59.7827,2020,2,19,115000,2018,상도동,11590,4,2020-02-19
래미안상도3차,11590-127,84.96,2020,2,27,98000,2004,상도동,11590,3,2020-02-27
상도동삼호아파트,11590-13,114.63,2020,2,5,80000,1994,상도동,11590,11,2020-02-05
e편한세상상도노빌리티,11590-4879,59.9173,2020,2,28,114000,2018,상도동,11590,2,2020-02-28
이수브라운스톤상도(527-0),11590-3441,84.91,2020,2,26,98000,2007,상도동,11590,1,2020-02-26
두산위브트레지움2차,11590-4495,84.864,2020,2,25,129000,2016,상도동,11590,23,2020-02-25
이수브라운스톤상도(527-0),11590-3441,59.94,2020,2,25,94000,2007,상도동,11590,11,2020-02-25
이수브라운스톤상도(527-0),11590-3441,59.94,2020,2,25,94000,2007,상도동,11590,11,2020-02-25
종인아네스트(409-3),11590-3754,58.76,2020,2,27,36000,2010,상도동,11590,9,2020-02-27
상도팰리스,11590-123,84.86,2020,2,15,69500,2006,상도동,11590,2,2020-02-15
상도더샵2차,11590-4206,84.99,2020,2,8,99000,2014,상도동,11590,6,2020-02-08
e편한세상상도노빌리티,11590-4879,59.9173,2020,2,15,109000,2018,상도동,11590,9,2020-02-15
힐스테이트 상도 센트럴파크,11590-3954,84.7835,2020,2,22,130000,2012,상도동,11590,13,2020-02-22
래미안상도3차,11590-127,84.96,2020,2,21,99000,2004,상도동,11590,3,2020-02-21
중앙하이츠빌,11590-100,59.9388,2020,2,1,78000,2003,상도동,11590,4,2020-02-01
상도동삼호아파트,11590-13,84.52,2020,2,17,62300,1994,상도동,11590,2,2020-02-17
힐스테이트 상도 프레스티지,11590-4078,120.49,2020,2,25,120000,2013,상도동,11590,1,2020-02-25
e편한세상상도노빌리티,11590-4879,84.8746,2020,2,18,149000,2018,상도동,11590,25,2020-02-18
포스코더샵,11590-3412,84.995,2020,2,22,112500,2007,상도동,11590,8,2020-02-22
삼성래미안2,11590-102,84.796,2020,2,20,89000,2003,상도동,11590,8,2020-02-20
힐스테이트 상도 센트럴파크,11590-3954,84.6099,2020,2,8,116000,2012,상도동,11590,2,2020-02-08
상도2차갑을명가,11590-3358,84.33,2020,2,10,60000,2006,상도동,11590,4,2020-02-10
상도효성해링턴플레이스,11590-4559,84.8136,2020,2,15,104000,2016,상도동,11590,10,2020-02-15
래미안상도3차,11590-127,84.96,2020,2,15,108700,2004,상도동,11590,11,2020-02-15
포스코더샵,11590-3412,132.735,2020,2,1,128000,2007,상도동,11590,4,2020-02-01
포스코더샵,11590-3412,59.995,2020,2,13,94000,2007,상도동,11590,6,2020-02-13
상도휴엔하임,11590-4526,14.7,2020,2,8,16400,2016,상도동,11590,4,2020-02-08
삼환나우빌(520-0),11590-3388,84.87,2020,2,8,83500,2007,상도동,11590,9,2020-02-08
오크밸리,11590-24,40.27,2020,2,7,20000,2002,상도동,11590,2,2020-02-07
e편한세상상도노빌리티,11590-4879,84.9704,2020,3,27,140000,2018,상도동,11590,17,2020-03-27
동아,11590-11,83.09,2020,3,21,43850,1995,상도동,11590,6,2020-03-21
힐스테이트 상도 센트럴파크,11590-3954,59.7754,2020,3,27,105000,2012,상도동,11590,10,2020-03-27
건영,11590-9,32.8,2020,3,21,47000,1997,상도동,11590,17,2020-03-21
래미안상도3차,11590-127,114.97,2020,3,17,108000,2004,상도동,11590,1,2020-03-17
e편한세상상도노빌리티,11590-4879,108.9843,2020,3,9,159200,2018,상도동,11590,22,2020-03-09
종인아네스트(409-3),11590-3754,58.76,2020,3,21,38000,2010,상도동,11590,3,2020-03-21
아이파크,11590-126,84.96,2020,3,21,86000,2004,상도동,11590,2,2020-03-21
상도효성해링턴플레이스,11590-4559,84.9506,2020,3,7,106000,2016,상도동,11590,16,2020-03-07
삼환나우빌(520-0),11590-3388,126.362,2020,3,31,85000,2007,상도동,11590,10,2020-03-31
아이파크,11590-126,84.96,2020,3,7,85000,2004,상도동,11590,2,2020-03-07
종인아네스트(409-3),11590-3754,58.76,2020,3,24,26000,2010,상도동,11590,10,2020-03-24
원아파트,11590-3349,84.74,2020,3,19,39400,2006,상도동,11590,2,2020-03-19
현대(관악),11590-3295,84.78,2020,3,6,72000,1992,상도동,11590,3,2020-03-06
약수맨션,11590-17,131.47,2020,3,18,82500,1980,상도동,11590,10,2020-03-18
씨티아모리움,11590-3991,14.1881,2020,3,7,16000,2012,상도동,11590,3,2020-03-07
경향렉스빌,11590-23,114.6534,2020,3,2,76500,2002,상도동,11590,6,2020-03-02
상도동삼호아파트,11590-13,84.52,2020,3,9,70500,1994,상도동,11590,3,2020-03-09
다온아파트,11590-4728,55.22,2020,3,21,39000,2017,상도동,11590,5,2020-03-21
삼성래미안2,11590-102,84.796,2020,3,17,84000,2003,상도동,11590,3,2020-03-17
상도휴엔하임,11590-4526,14.7,2020,3,6,16000,2016,상도동,11590,6,2020-03-06
상도휴엔하임,11590-4526,14.7,2020,3,17,16100,2016,상도동,11590,8,2020-03-17
상도휴엔하임,11590-4526,14.7,2020,3,6,16000,2016,상도동,11590,6,2020-03-06
상도동래미안1차,11590-22,84.959,2020,3,6,93000,2004,상도동,11590,10,2020-03-06
삼성래미안2,11590-102,59.886,2020,3,7,79900,2003,상도동,11590,9,2020-03-07
포스코더샵,11590-3412,59.99,2020,3,12,95500,2007,상도동,11590,6,2020-03-12
이수브라운스톤상도(527-0),11590-3441,84.99,2020,3,6,105000,2007,상도동,11590,10,2020-03-06
힐스테이트 상도 센트럴파크,11590-3954,84.7954,2020,3,5,125000,2012,상도동,11590,10,2020-03-05
래미안상도3차,11590-127,84.96,2020,3,6,108000,2004,상도동,11590,15,2020-03-06
씨티아모리움,11590-3991,14.1881,2020,3,10,14600,2012,상도동,11590,7,2020-03-10
e편한세상상도노빌리티,11590-4879,59.7827,2020,3,7,116000,2018,상도동,11590,20,2020-03-07
두산위브트레지움2차,11590-4495,84.8032,2020,3,7,127000,2016,상도동,11590,19,2020-03-07
삼환나우빌(520-0),11590-3388,124.837,2020,3,2,75000,2007,상도동,11590,4,2020-03-02
힐스테이트 상도 센트럴파크,11590-3954,84.6099,2020,3,3,121500,2012,상도동,11590,6,2020-03-03
현대(관악),11590-3295,84.78,2020,4,24,68000,1992,상도동,11590,15,2020-04-24
다온아파트,11590-4728,55.22,2020,4,21,39800,2017,상도동,11590,2,2020-04-21
현대(관악),11590-3295,58.59,2020,4,18,60000,1992,상도동,11590,10,2020-04-18
현대(관악),11590-3295,84.78,2020,4,28,71900,1992,상도동,11590,12,2020-04-28
현대(관악),11590-3295,58.59,2020,4,30,60500,1992,상도동,11590,5,2020-04-30
힐스테이트 상도 센트럴파크,11590-3954,84.7835,2020,4,14,115000,2012,상도동,11590,12,2020-04-14
삼환나우빌(520-0),11590-3388,124.837,2020,4,24,83500,2007,상도동,11590,7,2020-04-24
현대(관악),11590-3295,58.59,2020,4,22,55900,1992,상도동,11590,11,2020-04-22
래미안상도3차,11590-127,84.96,2020,4,11,95000,2004,상도동,11590,2,2020-04-11
상도동래미안1차,11590-22,84.959,2020,4,23,90000,2004,상도동,11590,18,2020-04-23
힐스테이트 상도 센트럴파크,11590-3954,84.7835,2020,5,26,116000,2012,상도동,11590,7,2020-05-26
대림아파트,11590-85,84.89,2020,5,30,60000,1995,상도동,11590,2,2020-05-30
중앙하이츠빌,11590-100,84.9883,2020,5,30,91500,2003,상도동,11590,14,2020-05-30
상도동삼호아파트,11590-13,84.52,2020,5,30,70500,1994,상도동,11590,6,2020-05-30
힐스테이트 상도 센트럴파크,11590-3954,84.7835,2020,5,21,109800,2012,상도동,11590,2,2020-05-21
포스코더샵,11590-3412,84.992,2020,5,20,107000,2007,상도동,11590,2,2020-05-20
중앙하이츠빌,11590-100,59.9388,2020,5,23,80500,2003,상도동,11590,9,2020-05-23
래미안상도3차,11590-127,84.96,2020,5,19,110000,2004,상도동,11590,8,2020-05-19
래미안상도3차,11590-127,84.96,2020,5,16,101000,2004,상도동,11590,3,2020-05-16
대림아파트,11590-85,84.89,2020,5,30,62000,1995,상도동,11590,3,2020-05-30
현대(관악),11590-3295,58.59,2020,5,12,60000,1992,상도동,11590,12,2020-05-12
힐스테이트 상도 센트럴파크,11590-3954,84.6099,2020,5,9,125000,2012,상도동,11590,8,2020-05-09
상도두산위브,11590-3714,84.911,2020,5,16,102000,2010,상도동,11590,2,2020-05-16
쌍용스윗닷홈,11590-99,59.578,2020,5,21,70000,2003,상도동,11590,2,2020-05-21
힐스테이트 상도 센트럴파크,11590-3954,84.6099,2020,5,11,115500,2012,상도동,11590,5,2020-05-11
대림아파트,11590-85,66.59,2020,5,15,60000,1995,상도동,11590,5,2020-05-15
포스코더샵,11590-3412,161.481,2020,5,12,137000,2007,상도동,11590,6,2020-05-12
현대(관악),11590-3295,84.78,2020,5,14,72700,1992,상도동,11590,10,2020-05-14
래미안상도3차,11590-127,114.97,2020,5,27,115000,2004,상도동,11590,3,2020-05-27
상도휴엔하임,11590-4526,14.7,2020,5,26,15400,2016,상도동,11590,4,2020-05-26
숭실골드,11590-220,57.9,2020,5,21,26500,2001,상도동,11590,5,2020-05-21
아이파크,11590-126,84.96,2020,5,21,90000,2004,상도동,11590,5,2020-05-21
아이파크,11590-126,114.83,2020,5,22,107000,2004,상도동,11590,13,2020-05-22
종인아네스트(409-3),11590-3754,58.76,2020,5,19,38300,2010,상도동,11590,2,2020-05-19
현대(관악),11590-3295,84.78,2020,5,14,65000,1992,상도동,11590,8,2020-05-14
래미안상도3차,11590-127,84.96,2020,5,9,101900,2004,상도동,11590,3,2020-05-09
상도휴엔하임,11590-4526,14.7,2020,5,18,16300,2016,상도동,11590,9,2020-05-18
상도휴엔하임,11590-4526,14.7,2020,5,7,16900,2016,상도동,11590,11,2020-05-07
중앙하이츠빌,11590-100,84.9883,2020,5,8,85850,2003,상도동,11590,1,2020-05-08
푸른솔,11590-212,84.18,2020,5,18,31700,2003,상도동,11590,-1,2020-05-18
쌍용스윗닷홈,11590-99,59.578,2020,5,4,50500,2003,상도동,11590,5,2020-05-04
상도현대,11590-15,84.97,2020,5,9,71000,2003,상도동,11590,9,2020-05-09
삼환나우빌(520-0),11590-3388,121.346,2020,5,7,88000,2007,상도동,11590,5,2020-05-07
현대(관악),11590-3295,58.59,2020,5,4,58000,1992,상도동,11590,15,2020-05-04
e편한세상상도노빌리티,11590-4879,84.9704,2020,5,1,132000,2018,상도동,11590,17,2020-05-01
상도더샵2차,11590-4206,75.67,2020,6,26,105000,2014,상도동,11590,10,2020-06-26
포스코더샵,11590-3412,84.995,2020,6,2,107000,2007,상도동,11590,3,2020-06-02
아이파크,11590-126,114.83,2020,6,30,106000,2004,상도동,11590,20,2020-06-30
힐스테이트 상도 프레스티지,11590-4078,120.49,2020,6,27,147000,2013,상도동,11590,20,2020-06-27
힐스테이트 상도 센트럴파크,11590-3954,118.1759,2020,6,30,141500,2012,상도동,11590,9,2020-06-30
동원베네스트,11590-3577,84.97,2020,6,29,98000,2008,상도동,11590,10,2020-06-29
래미안상도3차,11590-127,84.96,2020,6,29,112000,2004,상도동,11590,4,2020-06-29
포스코더샵,11590-3412,84.995,2020,6,24,114700,2007,상도동,11590,8,2020-06-24
대우유로카운티,11590-101,142.129,2020,6,27,102000,2003,상도동,11590,13,2020-06-27
힐스테이트 상도 센트럴파크,11590-3954,84.6099,2020,6,25,127000,2012,상도동,11590,4,2020-06-25
상도휴엔하임,11590-4526,14.7,2020,6,19,16100,2016,상도동,11590,5,2020-06-19
상도동삼호아파트,11590-13,114.63,2020,6,24,85000,1994,상도동,11590,14,2020-06-24
상도현대,11590-15,59.72,2020,6,26,63800,2003,상도동,11590,11,2020-06-26
힐스테이트 상도 센트럴파크,11590-3954,84.6099,2020,6,26,125000,2012,상도동,11590,6,2020-06-26
경향렉스빌,11590-23,84.9832,2020,6,29,68800,2002,상도동,11590,5,2020-06-29
아이파크,11590-126,84.96,2020,6,27,95000,2004,상도동,11590,10,2020-06-27
포스코더샵,11590-3412,59.99,2020,6,29,96150,2007,상도동,11590,5,2020-06-29
동원베네스트,11590-3577,84.958,2020,6,27,94000,2008,상도동,11590,4,2020-06-27
삼성래미안2,11590-102,84.796,2020,6,29,84900,2003,상도동,11590,3,2020-06-29
상도현대,11590-15,59.72,2020,6,30,60000,2003,상도동,11590,2,2020-06-30
힐스테이트 상도 센트럴파크,11590-3954,118.1432,2020,6,25,138500,2012,상도동,11590,5,2020-06-25
힐스테이트 상도 센트럴파크,11590-3954,118.1432,2020,6,25,138500,2012,상도동,11590,5,2020-06-25
힐스테이트 상도 프레스티지,11590-4078,84.884,2020,6,29,124000,2013,상도동,11590,12,2020-06-29
힐스테이트 상도 프레스티지,11590-4078,84.953,2020,6,20,114000,2013,상도동,11590,1,2020-06-20
포스코더샵,11590-3412,132.735,2020,6,29,138000,2007,상도동,11590,14,2020-06-29
포스코더샵,11590-3412,84.995,2020,6,14,112000,2007,상도동,11590,5,2020-06-14
상도동래미안1차,11590-22,59.828,2020,6,25,86000,2004,상도동,11590,7,2020-06-25
힐스테이트 상도 센트럴파크,11590-3954,84.7835,2020,6,20,117000,2012,상도동,11590,2,2020-06-20
힐스테이트 상도 프레스티지,11590-4078,120.004,2020,6,21,142500,2013,상도동,11590,11,2020-06-21
두산위브트레지움2차,11590-4495,84.864,2020,6,25,127000,2016,상도동,11590,10,2020-06-25
현대(관악),11590-3295,84.78,2020,6,26,78000,1992,상도동,11590,13,2020-06-26
두산위브트레지움2차,11590-4495,84.864,2020,6,22,128000,2016,상도동,11590,7,2020-06-22
래미안상도3차,11590-127,84.96,2020,6,23,110800,2004,상도동,11590,3,2020-06-23
두산위브트레지움2차,11590-4495,84.864,2020,6,20,128500,2016,상도동,11590,16,2020-06-20
래미안상도3차,11590-127,84.96,2020,6,27,111800,2004,상도동,11590,13,2020-06-27
상도더샵2차,11590-4206,75.67,2020,6,26,105000,2014,상도동,11590,10,2020-06-26
건영,11590-9,32.8,2020,6,25,46000,1997,상도동,11590,1,2020-06-25
건영,11590-9,32.8,2020,6,20,51000,1997,상도동,11590,18,2020-06-20
두산위브트레지움2차,11590-4495,84.8032,2020,6,28,130000,2016,상도동,11590,20,2020-06-28
e편한세상상도노빌리티,11590-4879,84.9704,2020,6,17,140000,2018,상도동,11590,8,2020-06-17
힐스테이트 상도 센트럴파크,11590-3954,59.7686,2020,6,14,103500,2012,상도동,11590,2,2020-06-14
상도동삼호아파트,11590-13,84.52,2020,6,14,71900,1994,상도동,11590,12,2020-06-14
두산위브트레지움2차,11590-4495,84.864,2020,6,29,129000,2016,상도동,11590,17,2020-06-29
e편한세상상도노빌리티,11590-4879,59.5905,2020,6,15,115000,2018,상도동,11590,26,2020-06-15
건영,11590-9,32.8,2020,6,17,52500,1997,상도동,11590,3,2020-06-17
상도동삼호아파트,11590-13,84.52,2020,6,29,74200,1994,상도동,11590,3,2020-06-29
포스코더샵,11590-3412,101.993,2020,6,15,126000,2007,상도동,11590,1,2020-06-15
e편한세상상도노빌리티,11590-4879,59.7827,2020,6,14,118000,2018,상도동,11590,15,2020-06-14
아이파크,11590-126,84.96,2020,6,22,93700,2004,상도동,11590,15,2020-06-22
힐스테이트 상도 센트럴파크,11590-3954,118.2086,2020,6,18,140000,2012,상도동,11590,10,2020-06-18
힐스테이트 상도 센트럴파크,11590-3954,84.7835,2020,6,15,112000,2012,상도동,11590,1,2020-06-15
힐스테이트 상도 센트럴파크,11590-3954,118.1759,2020,6,14,136000,2012,상도동,11590,6,2020-06-14
힐스테이트 상도 센트럴파크,11590-3954,84.6099,2020,6,12,136000,2012,상도동,11590,10,2020-06-12
힐스테이트 상도 센트럴파크,11590-3954,84.6099,2020,6,24,118000,2012,상도동,11590,3,2020-06-24
상도동삼호아파트,11590-13,114.63,2020,6,12,80000,1994,상도동,11590,7,2020-06-12
포스코더샵,11590-3412,59.99,2020,6,23,97500,2007,상도동,11590,15,2020-06-23
상도동래미안1차,11590-22,84.959,2020,6,16,96700,2004,상도동,11590,17,2020-06-16
이수브라운스톤상도(527-0),11590-3441,59.94,2020,6,20,96000,2007,상도동,11590,14,2020-06-20
힐스테이트 상도 프레스티지,11590-4078,120.571,2020,6,15,141000,2013,상도동,11590,10,2020-06-15
래미안상도3차,11590-127,84.96,2020,6,30,113000,2004,상도동,11590,6,2020-06-30
삼성래미안2,11590-102,84.796,2020,6,29,84900,2003,상도동,11590,3,2020-06-29
힐스테이트 상도 센트럴파크,11590-3954,84.6099,2020,6,26,125000,2012,상도동,11590,15,2020-06-26
래미안상도3차,11590-127,84.96,2020,6,24,107500,2004,상도동,11590,9,2020-06-24
힐스테이트 상도 프레스티지,11590-4078,84.922,2020,6,27,130000,2013,상도동,11590,8,2020-06-27
힐스테이트 상도 프레스티지,11590-4078,84.951,2020,6,17,120000,2013,상도동,11590,4,2020-06-17
동원베네스트,11590-3577,84.958,2020,6,18,93000,2008,상도동,11590,10,2020-06-18
상도더샵2차,11590-4206,84.99,2020,6,14,107000,2014,상도동,11590,5,2020-06-14
상도두산위브,11590-3714,84.909,2020,6,28,109900,2010,상도동,11590,8,2020-06-28
래미안상도3차,11590-127,84.96,2020,6,22,111000,2004,상도동,11590,3,2020-06-22
힐스테이트 상도 센트럴파크,11590-3954,59.7754,2020,6,13,108200,2012,상도동,11590,8,2020-06-13
씨티아모리움,11590-3991,17.4395,2020,6,26,19500,2012,상도동,11590,7,2020-06-26
포스코더샵,11590-3412,59.99,2020,6,27,97000,2007,상도동,11590,5,2020-06-27
포스코더샵,11590-3412,59.99,2020,6,15,95000,2007,상도동,11590,3,2020-06-15
상도두산위브,11590-3714,84.534,2020,6,27,109500,2010,상도동,11590,14,2020-06-27
힐스테이트 상도 프레스티지,11590-4078,84.884,2020,6,13,121500,2013,상도동,11590,13,2020-06-13
힐스테이트 상도 센트럴파크,11590-3954,118.2086,2020,6,13,140000,2012,상도동,11590,2,2020-06-13
쌍용스윗닷홈,11590-99,84.954,2020,6,25,86500,2003,상도동,11590,5,2020-06-25
삼성래미안2,11590-102,59.886,2020,6,15,76200,2003,상도동,11590,1,2020-06-15
힐스테이트 상도 센트럴파크,11590-3954,84.6099,2020,6,27,126800,2012,상도동,11590,9,2020-06-27
상도더샵2차,11590-4206,79.39,2020,6,17,108000,2014,상도동,11590,11,2020-06-17
힐스테이트 상도 센트럴파크,11590-3954,59.7754,2020,6,10,106500,2012,상도동,11590,6,2020-06-10
포스코더샵,11590-3412,132.735,2020,6,16,139000,2007,상도동,11590,12,2020-06-16
중앙하이츠빌,11590-100,84.9883,2020,6,8,94000,2003,상도동,11590,13,2020-06-08
아이파크,11590-126,84.96,2020,6,17,90000,2004,상도동,11590,5,2020-06-17
래미안상도3차,11590-127,114.97,2020,6,29,132000,2004,상도동,11590,5,2020-06-29
초원,11590-107,102.9,2020,6,27,35000,2003,상도동,11590,3,2020-06-27
상도파크자이,11590-4642,72.088,2020,6,17,127000,2016,상도동,11590,7,2020-06-17
상도효성해링턴플레이스,11590-4559,84.9506,2020,6,24,110000,2016,상도동,11590,21,2020-06-24
힐스테이트 상도 프레스티지,11590-4078,84.951,2020,6,15,114000,2013,상도동,11590,1,2020-06-15
